date,AEMD,EXV6,H4ZS,KLMH,LYPG,UEQD
2019-06-03 00:00:00,44.4493,43.715,28.03,51.498,248.6,13.7745
2019-06-04 00:00:00,44.1868,43.715,28.375,51.568,249.7,14.0505
2019-06-05 00:00:00,44.0649,44.125,28.52,51.768,252.9,14.2045
2019-06-06 00:00:00,43.7965,44.12,27.84,51.792,254.15,14.2585
2019-06-07 00:00:00,44.1527,44.095,28.305,51.968,259.7,14.412
2019-06-11 00:00:00,45.0797,44.095,29.42,51.842,262.55,14.4945
2019-06-12 00:00:00,44.7333,45.08,29.29,52.022,260.8,14.4725
2019-06-13 00:00:00,44.8358,45.08,29.26,51.938,263.05,14.5345
2019-06-14 00:00:00,44.6016,46.215,29.25,51.992,261.75,14.5005
2019-06-17 00:00:00,44.7772,46.145,29.23,52.082,262.0,14.559
2019-06-18 00:00:00,45.8263,46.02,29.24,52.452,267.25,14.667
2019-06-19 00:00:00,45.797,46.86,29.225,52.292,266.75,14.6545
2019-06-20 00:00:00,46.4362,46.535,29.71,52.618,269.45,14.808
2019-06-21 00:00:00,45.9434,46.535,29.155,52.302,269.45,14.8405
2019-06-24 00:00:00,45.8116,46.535,29.08,52.378,266.95,14.8145
2019-06-25 00:00:00,45.475,46.535,29.185,52.522,264.65,14.7285
2019-06-26 00:00:00,45.8067,46.675,29.19,52.378,265.4,14.6605
2019-06-27 00:00:00,46.0605,46.97,28.81,52.55,265.25,14.7145
2019-06-28 00:00:00,46.0263,46.97,28.66,52.532,265.6,14.7525
2019-07-01 00:00:00,46.8509,47.375,29.24,52.672,272.1,14.842
2019-07-02 00:00:00,46.685,48.01,29.245,52.768,272.3,14.8785
2019-07-03 00:00:00,46.7826,48.38,29.275,52.872,274.5,15.051
2019-07-04 00:00:00,46.9826,48.38,29.465,53.012,275.7,15.059
2019-07-05 00:00:00,46.7738,47.685,29.49,52.822,274.6,15.0105
2019-07-08 00:00:00,46.3727,46.58,29.835,52.952,273.9,14.9315
2019-07-09 00:00:00,46.3142,46.855,29.095,52.802,274.05,14.9495
2019-07-10 00:00:00,46.6801,46.205,28.81,52.642,275.6,15.0525
2019-07-11 00:00:00,46.2995,46.205,28.85,52.538,277.05,15.016
2019-07-12 00:00:00,46.4566,46.205,29.01,52.546,277.6,15.0925
2019-07-15 00:00:00,46.6704,44.74,29.275,52.626,278.7,15.118
2019-07-16 00:00:00,46.9046,45.12,29.14,52.656,279.35,15.088
2019-07-17 00:00:00,46.7338,45.23,29.15,52.804,277.95,15.043
2019-07-18 00:00:00,46.6313,45.23,28.58,52.866,276.2,14.9565
2019-07-19 00:00:00,46.8265,44.765,28.47,52.846,279.75,15.044
2019-07-22 00:00:00,46.7191,45.605,28.075,52.876,279.9,14.9725
2019-07-23 00:00:00,46.9729,45.605,27.905,52.856,282.45,15.0485
2019-07-24 00:00:00,47.0607,46.12,28.185,52.964,284.6,15.1045
2019-07-25 00:00:00,46.5786,45.79,27.935,53.172,284.15,15.012
2019-07-26 00:00:00,46.7026,44.715,27.785,53.238,286.3,15.085
2019-07-29 00:00:00,46.4342,44.91,27.935,53.322,285.15,15.0785
2019-07-30 00:00:00,46.0243,44.83,27.955,53.352,283.45,15.036
2019-07-31 00:00:00,46.0322,44.28,28.035,53.484,285.0,15.0475
2019-08-01 00:00:00,45.4291,42.71,27.54,53.724,287.2,14.8175
2019-08-02 00:00:00,44.2854,44.19,26.82,53.756,273.75,14.5605
2019-08-05 00:00:00,42.2147,40.9,25.825,53.81,263.6,14.2165
2019-08-06 00:00:00,42.9368,39.725,26.03,53.892,262.6,14.367
2019-08-07 00:00:00,43.092,39.175,26.56,53.874,263.8,14.4105
2019-08-08 00:00:00,43.737,38.825,26.905,53.85,271.25,14.6685
2019-08-09 00:00:00,43.4511,39.98,26.965,53.78,268.05,14.6405
2019-08-12 00:00:00,42.7553,38.72,26.215,53.748,267.05,14.459
2019-08-13 00:00:00,43.4374,39.63,26.355,53.944,271.2,14.6575
2019-08-14 00:00:00,42.4947,38.465,25.62,54.12,267.05,14.307
2019-08-15 00:00:00,42.6245,38.16,25.325,54.296,265.9,14.1805
2019-08-16 00:00:00,43.4091,38.415,26.1,54.298,270.5,14.443
2019-08-19 00:00:00,43.5594,39.22,26.04,54.174,274.8,14.643
2019-08-20 00:00:00,43.7263,38.675,26.26,54.308,274.9,14.5515
2019-08-21 00:00:00,44.0619,38.84,26.495,54.298,277.15,14.6235
2019-08-22 00:00:00,43.5887,38.86,26.5,54.144,275.45,14.627
2019-08-23 00:00:00,42.7143,38.23,26.125,54.204,269.1,14.327
2019-08-26 00:00:00,43.0276,38.345,26.17,54.076,269.65,14.3515
2019-08-27 00:00:00,43.2335,38.625,26.575,54.33,270.75,14.3545
2019-08-28 00:00:00,43.3623,38.855,26.895,54.484,270.05,14.415
2019-08-29 00:00:00,43.8658,39.645,27.46,54.452,275.25,14.622
2019-08-30 00:00:00,44.625,40.64,28.21,54.406,276.25,14.5925
2019-09-02 00:00:00,44.2864,40.315,27.825,54.278,276.85,14.4675
2019-09-03 00:00:00,44.2317,40.11,27.645,54.328,274.95,14.4595
2019-09-04 00:00:00,44.7275,41.28,28.195,54.228,276.7,14.631
2019-09-05 00:00:00,45.3149,42.01,28.515,53.856,282.8,14.85
2019-09-06 00:00:00,45.4574,42.375,28.825,54.082,283.3,14.8955
