date,540G,8522,AMEL,DXSZ,ELFE,EMIE,H4ZG,IS3N,XAIX
2019-06-03,0,0,0,0,1,1,0,0,1
2019-06-04,0,0,0,0,2,2,0,0,2
2019-06-05,0,0,0,0,3,3,0,0,3
2019-06-06,0,0,0,0,4,4,0,0,4
2019-06-07,0,0,0,0,5,5,0,0,5
2019-06-10,1,0,1,1,6,6,1,1,6
2019-06-11,0,0,0,0,7,7,0,0,7
2019-06-12,0,0,0,0,8,8,0,0,8
2019-06-13,0,0,0,0,9,9,0,0,9
2019-06-14,0,0,0,0,10,10,0,0,10
2019-06-17,0,0,0,0,11,11,0,0,11
2019-06-18,0,0,0,0,12,12,0,0,12
2019-06-19,0,0,0,0,13,13,0,0,13
2019-06-20,0,0,0,0,14,14,0,0,14
2019-06-21,0,0,0,0,15,15,0,0,15
2019-06-24,0,0,0,0,16,16,0,0,16
2019-06-25,0,0,0,0,17,17,0,0,17
2019-06-26,0,0,0,0,18,18,0,0,18
2019-06-27,0,0,0,0,19,19,0,0,19
2019-06-28,0,0,0,0,20,20,0,0,20
2019-07-01,0,0,0,0,21,21,0,0,21
2019-07-02,0,0,0,0,22,22,0,0,22
2019-07-03,0,0,0,0,23,23,0,0,23
2019-07-04,0,0,0,0,24,24,0,0,24
2019-07-05,0,0,0,0,25,25,0,0,25
2019-07-08,0,0,0,0,26,26,0,0,26
2019-07-09,0,0,0,0,27,27,0,0,27
2019-07-10,0,0,0,0,28,28,0,0,28
2019-07-11,0,0,0,0,29,29,0,0,29
2019-07-12,0,0,0,0,30,30,0,0,30
2019-07-15,0,1,0,0,31,31,0,0,31
2019-07-16,0,0,0,0,32,32,0,0,32
2019-07-17,0,0,0,0,33,33,0,0,33
2019-07-18,0,0,0,0,34,34,0,0,34
2019-07-19,0,0,0,0,35,35,0,0,35
2019-07-22,0,0,0,0,36,36,0,0,36
2019-07-23,0,0,0,0,37,37,0,0,37
2019-07-24,0,0,0,0,38,38,0,0,38
2019-07-25,0,0,0,0,39,39,0,0,0
2019-07-26,0,0,0,0,40,40,0,0,0
2019-07-29,0,0,0,0,41,41,0,0,0
2019-07-30,0,0,0,0,42,42,0,0,0
2019-07-31,0,0,0,0,43,43,0,0,0
2019-08-01,0,0,0,0,44,44,0,0,0
2019-08-02,0,0,0,0,45,45,0,0,0
2019-08-05,0,0,0,0,46,46,0,0,0
2019-08-06,0,0,0,0,47,47,0,0,0
2019-08-07,0,0,0,0,48,48,0,0,0
2019-08-08,0,0,0,0,49,49,0,0,0
2019-08-09,0,0,0,0,50,50,0,0,0
2019-08-12,0,1,0,0,51,51,0,0,0
2019-08-13,0,0,0,0,52,52,0,0,0
2019-08-14,0,0,0,0,53,53,0,0,0
2019-08-15,0,0,0,0,54,54,0,0,0
2019-08-16,0,0,0,0,55,55,0,0,0
2019-08-19,0,0,0,0,56,56,0,0,0
2019-08-20,0,0,0,0,57,57,0,0,0
2019-08-21,0,0,0,0,58,58,0,0,0
2019-08-22,0,0,0,0,59,59,0,0,0
2019-08-23,0,0,0,0,60,60,0,0,0
2019-08-26,0,0,0,0,61,61,0,0,0
2019-08-27,0,0,0,0,62,62,0,0,0
2019-08-28,0,0,0,0,63,63,0,0,0
2019-08-29,0,0,0,0,64,64,0,0,0
2019-08-30,0,0,0,0,65,65,0,0,0
2019-09-02,0,0,0,0,66,66,0,0,0
2019-09-03,0,0,0,0,67,67,0,0,0
2019-09-04,0,0,0,0,68,68,0,0,0
2019-09-05,0,0,0,0,69,69,0,0,0
2019-09-06,0,0,0,0,70,70,0,0,0
2019-09-09,0,0,0,0,71,71,0,0,0
2019-09-10,0,0,0,0,72,72,0,0,0
2019-09-11,0,0,0,0,73,73,0,0,0
2019-09-12,0,0,0,0,74,74,0,0,0
2019-09-13,0,0,0,0,75,75,0,0,0
2019-09-16,0,1,0,0,76,76,0,0,0
2019-09-17,0,1,0,0,77,77,0,0,0
2019-09-18,0,1,0,0,78,78,0,0,0
2019-09-19,0,1,0,0,79,79,0,0,0
2019-09-20,0,1,0,0,80,80,0,0,0
2019-09-23,0,2,0,0,81,81,0,0,0
2019-09-24,0,0,0,0,82,82,0,0,0
2019-09-25,0,0,0,0,83,83,0,0,0
2019-09-26,0,0,0,0,84,84,0,0,0
2019-09-27,0,0,0,0,85,85,0,0,0
2019-09-30,0,0,0,0,86,86,0,0,0
2019-10-01,0,0,0,0,87,87,0,0,0
2019-10-02,0,0,0,0,88,88,0,0,0
2019-10-03,1,0,1,1,89,89,1,1,1
2019-10-04,0,0,0,0,90,90,0,0,0
2019-10-07,0,0,0,0,91,91,0,0,0
2019-10-08,0,0,0,0,92,92,0,0,0
2019-10-09,0,0,0,0,93,93,0,0,0
2019-10-10,0,0,0,0,94,94,0,0,0
2019-10-11,0,0,0,0,95,95,0,0,0
2019-10-14,0,1,0,0,96,96,0,0,0
2019-10-15,0,1,0,0,97,97,0,0,0
2019-10-16,0,1,0,0,98,98,0,0,0
2019-10-17,0,1,0,0,99,99,0,0,0
2019-10-18,0,1,0,0,100,100,0,0,0
2019-10-21,0,1,0,0,101,101,0,0,0
2019-10-22,0,2,0,0,102,102,0,0,0
2019-10-23,0,0,0,0,103,103,0,0,0
2019-10-24,0,0,0,1,104,104,0,0,0
2019-10-25,0,0,0,0,105,105,0,0,0
2019-10-28,0,0,0,0,106,106,0,0,0
2019-10-29,0,0,0,0,107,107,0,0,0
2019-10-30,0,0,0,0,108,108,0,0,0
2019-10-31,0,0,0,0,109,109,0,0,0
2019-11-01,0,0,0,0,110,110,0,0,0
2019-11-04,0,1,0,0,111,111,0,0,0
2019-11-05,0,0,0,0,112,112,0,0,0
2019-11-06,0,0,0,0,113,113,0,0,0
2019-11-07,0,0,0,0,114,114,0,0,0
2019-11-08,0,0,0,0,115,115,0,0,0
2019-11-11,0,0,0,0,116,116,0,0,0
2019-11-12,0,0,0,0,117,117,0,0,0
2019-11-13,0,0,0,0,118,118,0,0,0
2019-11-14,0,0,0,0,119,119,0,0,0
2019-11-15,0,0,0,0,120,120,0,0,0
2019-11-18,0,0,0,0,121,121,0,0,0
2019-11-19,0,0,0,0,122,122,0,0,0
2019-11-20,0,0,0,0,123,123,0,0,0
2019-11-21,0,0,0,0,124,124,0,0,0
2019-11-22,0,0,0,0,125,125,0,0,0
2019-11-25,0,0,0,0,126,126,0,0,0
2019-11-26,0,0,0,0,127,127,0,0,0
2019-11-27,0,0,0,0,128,128,0,0,0
2019-11-28,0,0,0,0,129,129,0,0,0
2019-11-29,0,0,0,0,130,130,0,0,0
2019-12-02,0,0,0,0,131,131,0,0,0
2019-12-03,0,0,0,0,132,132,0,0,0
2019-12-04,0,0,0,0,133,133,0,0,0
2019-12-05,0,0,0,0,134,134,0,0,0
2019-12-06,0,0,0,0,135,135,0,0,0
2019-12-09,0,0,0,0,136,136,0,0,0
2019-12-10,0,0,0,0,137,137,0,0,0
2019-12-11,0,0,0,0,138,138,0,0,0
2019-12-12,0,0,0,0,139,139,0,0,0
2019-12-13,0,0,0,0,140,140,0,0,0
2019-12-16,0,0,0,0,141,141,0,0,0
2019-12-17,0,0,0,0,142,142,0,0,0
2019-12-18,0,0,0,0,143,143,0,0,0
2019-12-19,0,0,0,0,144,144,0,0,0
2019-12-20,0,0,0,0,145,145,0,0,0
2019-12-23,0,0,0,0,146,146,0,0,0
2019-12-24,1,0,1,1,147,147,1,1,1
2019-12-25,2,0,2,2,148,148,2,2,2
2019-12-26,3,0,3,3,149,149,3,3,3
2019-12-27,0,0,0,0,150,150,0,0,0
2019-12-30,0,0,0,0,151,151,0,0,0
2020-01-02,0,1,0,0,152,152,0,0,0
2020-01-03,0,2,0,0,153,153,0,0,0
2020-01-06,0,2,0,0,154,154,0,0,0
2020-01-07,0,2,0,0,155,155,0,0,0
2020-01-08,0,2,0,0,156,156,0,0,0
2020-01-09,0,2,0,0,157,157,0,0,0
2020-01-10,0,2,0,0,158,158,0,0,0
2020-01-13,0,3,0,0,159,159,0,0,0
2020-01-14,0,0,0,0,160,160,0,0,0
2020-01-15,0,0,0,0,161,161,0,0,0
2020-01-16,0,0,0,0,162,162,0,0,0
2020-01-17,0,0,0,0,163,163,0,0,0
2020-01-20,0,0,0,0,164,164,0,0,0
2020-01-21,0,0,0,0,165,165,0,0,0
2020-01-22,0,0,0,0,166,166,0,0,0
2020-01-23,0,0,0,0,167,167,0,0,0
2020-01-24,0,0,0,0,168,168,0,0,0
2020-01-27,0,0,0,0,169,169,0,0,0
2020-01-28,0,0,0,0,170,0,0,0,0
2020-01-29,0,0,0,0,171,0,0,0,0
2020-01-30,0,0,0,0,172,0,0,0,0
2020-01-31,0,0,0,0,173,0,0,0,0
2020-02-03,0,0,0,0,174,0,0,0,0
2020-02-04,0,0,0,0,175,0,0,0,0
2020-02-05,0,0,0,0,176,0,0,0,0
2020-02-06,0,0,0,0,177,0,0,0,0
